"title","rating","rating_description"
"None Spiking","NC-17","Adults Only"
"Noon Papi","G","General Audiences"
"North Tequila","NC-17","Adults Only"
"Northwest Polish","PG","Parental Guidance Suggested"
"Notorious Reunion","NC-17","Adults Only"
"Notting Speakeasy","PG-13","Parents Strongly Cautioned"
"Novocaine Flight","G","General Audiences"
"Nuts Ties","NC-17","Adults Only"
"October Submarine","PG-13","Parents Strongly Cautioned"
"Odds Boogie","NC-17","Adults Only"
"Oklahoma Jumanji","PG","Parental Guidance Suggested"
"Oleander Clue","PG","Parental Guidance Suggested"
"Open African","PG","Parental Guidance Suggested"
"Operation Operation","G","General Audiences"
"Opposite Necklace","PG","Parental Guidance Suggested"
"Opus Ice","R","Restricted"
"Orange Grapes","PG-13","Parents Strongly Cautioned"
"Order Betrayed","PG-13","Parents Strongly Cautioned"
"Orient Closer","R","Restricted"
"Oscar Gold","PG","Parental Guidance Suggested"
"Others Soup","PG","Parental Guidance Suggested"
"Outbreak Divine","NC-17","Adults Only"
"Outfield Massacre","NC-17","Adults Only"
"Outlaw Hanky","PG-13","Parents Strongly Cautioned"
"Oz Liaisons","R","Restricted"
"Pacific Amistad","G","General Audiences"
"Packer Madigan","PG-13","Parents Strongly Cautioned"
"Pajama Jawbreaker","R","Restricted"
"Panic Club","G","General Audiences"
"Panky Submarine","G","General Audiences"
"Panther Reds","NC-17","Adults Only"
"Papi Necklace","PG","Parental Guidance Suggested"
"Paradise Sabrina","PG-13","Parents Strongly Cautioned"
"Paris Weekend","PG-13","Parents Strongly Cautioned"
"Park Citizen","PG-13","Parents Strongly Cautioned"
"Party Knock","PG","Parental Guidance Suggested"
"Past Suicides","PG-13","Parents Strongly Cautioned"
"Paths Control","PG","Parental Guidance Suggested"
"Patient Sister","NC-17","Adults Only"
"Patriot Roman","PG","Parental Guidance Suggested"
"Patton Interview","PG","Parental Guidance Suggested"
"Paycheck Wait","PG-13","Parents Strongly Cautioned"
"Peach Innocent","PG-13","Parents Strongly Cautioned"
"Peak Forever","PG","Parental Guidance Suggested"
"Pearl Destiny","NC-17","Adults Only"
"Pelican Comforts","PG","Parental Guidance Suggested"
"Perdition Fargo","NC-17","Adults Only"
"Perfect Groove","PG-13","Parents Strongly Cautioned"
"Personal Ladybugs","PG-13","Parents Strongly Cautioned"
"Pet Haunting","PG","Parental Guidance Suggested"
"Phantom Glory","NC-17","Adults Only"
"Philadelphia Wife","PG-13","Parents Strongly Cautioned"
"Pianist Outfield","NC-17","Adults Only"
"Pickup Driving","G","General Audiences"
"Pilot Hoosiers","PG","Parental Guidance Suggested"
"Pinocchio Simon","PG","Parental Guidance Suggested"
"Pirates Roxanne","PG","Parental Guidance Suggested"
"Pittsburgh Hunchback","PG-13","Parents Strongly Cautioned"
"Pity Bound","NC-17","Adults Only"
"Pizza Jumanji","NC-17","Adults Only"
"Platoon Instinct","PG-13","Parents Strongly Cautioned"
"Pluto Oleander","R","Restricted"
"Pocus Pulp","NC-17","Adults Only"
"Polish Brooklyn","PG","Parental Guidance Suggested"
"Pollock Deliverance","PG","Parental Guidance Suggested"
"Pond Seattle","PG-13","Parents Strongly Cautioned"
"Poseidon Forever","PG-13","Parents Strongly Cautioned"
"Potluck Mixed","G","General Audiences"
"Potter Connecticut","PG","Parental Guidance Suggested"
"Prejudice Oleander","PG-13","Parents Strongly Cautioned"
"President Bang","PG","Parental Guidance Suggested"
"Pride Alamo","NC-17","Adults Only"
"Primary Glass","G","General Audiences"
"Princess Giant","NC-17","Adults Only"
"Private Drop","PG","Parental Guidance Suggested"
"Prix Undefeated","R","Restricted"
"Psycho Shrunk","PG-13","Parents Strongly Cautioned"
"Pulp Beverly","G","General Audiences"
"Punk Divorce","PG","Parental Guidance Suggested"
"Pure Runner","NC-17","Adults Only"
"Purple Movie","R","Restricted"
"Queen Luke","PG","Parental Guidance Suggested"
"Quest Mussolini","R","Restricted"
"Quills Bull","R","Restricted"
"Racer Egg","NC-17","Adults Only"
"Rage Games","R","Restricted"
"Raging Airplane","R","Restricted"
"Raiders Antitrust","PG-13","Parents Strongly Cautioned"
"Rainbow Shock","PG","Parental Guidance Suggested"
"Random Go","NC-17","Adults Only"
"Range Moonwalker","PG","Parental Guidance Suggested"
"Reap Unfaithful","PG-13","Parents Strongly Cautioned"
"Rear Trading","NC-17","Adults Only"
"Rebel Airport","G","General Audiences"
"Records Zorro","PG","Parental Guidance Suggested"
"Redemption Comforts","NC-17","Adults Only"
"Reds Pocus","PG-13","Parents Strongly Cautioned"
"Reef Salute","NC-17","Adults Only"
"Reign Gentlemen","PG-13","Parents Strongly Cautioned"
"Remember Diary","R","Restricted"
"Requiem Tycoon","R","Restricted"
"Reservoir Adaptation","PG-13","Parents Strongly Cautioned"
"Resurrection Silverado","PG","Parental Guidance Suggested"
"Reunion Witches","R","Restricted"
"Rider Caddyshack","PG","Parental Guidance Suggested"
"Ridgemont Submarine","PG-13","Parents Strongly Cautioned"
"Right Cranes","PG-13","Parents Strongly Cautioned"
"Rings Heartbreakers","G","General Audiences"
"River Outlaw","PG-13","Parents Strongly Cautioned"
"Road Roxanne","R","Restricted"
"Robbers Joon","PG-13","Parents Strongly Cautioned"
"Robbery Bright","R","Restricted"
"Rock Instinct","G","General Audiences"
"Rocketeer Mother","PG-13","Parents Strongly Cautioned"
"Rocky War","PG-13","Parents Strongly Cautioned"
"Rollercoaster Bringing","PG-13","Parents Strongly Cautioned"
"Roman Punk","NC-17","Adults Only"
"Roof Champion","R","Restricted"
"Room Roman","PG","Parental Guidance Suggested"
"Roots Remember","PG-13","Parents Strongly Cautioned"
"Roses Treasure","PG-13","Parents Strongly Cautioned"
"Rouge Squad","NC-17","Adults Only"
"Roxanne Rebel","R","Restricted"
"Rugrats Shakespeare","PG-13","Parents Strongly Cautioned"
"Rules Human","R","Restricted"
"Run Pacific","R","Restricted"
"Runaway Tenenbaums","NC-17","Adults Only"
"Runner Madigan","NC-17","Adults Only"
"Rush Goodfellas","PG","Parental Guidance Suggested"
"Rushmore Mermaid","PG-13","Parents Strongly Cautioned"
"Sabrina Midnight","PG","Parental Guidance Suggested"
"Saddle Antitrust","PG-13","Parents Strongly Cautioned"
"Sagebrush Clueless","G","General Audiences"
"Saints Bride","G","General Audiences"
"Salute Apollo","R","Restricted"
"Samurai Lion","G","General Audiences"
"Santa Paris","PG","Parental Guidance Suggested"
"Sassy Packer","G","General Audiences"
"Satisfaction Confidential","G","General Audiences"
"Saturday Lambs","G","General Audiences"
"Saturn Name","R","Restricted"
"Savannah Town","PG-13","Parents Strongly Cautioned"
"Scalawag Duck","NC-17","Adults Only"
"Scarface Bang","PG-13","Parents Strongly Cautioned"
"School Jacket","PG-13","Parents Strongly Cautioned"
"Scissorhands Slums","G","General Audiences"
"Scorpion Apollo","NC-17","Adults Only"
"Sea Virgin","PG","Parental Guidance Suggested"
"Seabiscuit Punk","NC-17","Adults Only"
"Searchers Wait","NC-17","Adults Only"
"Seattle Expecations","PG-13","Parents Strongly Cautioned"
"Secret Groundhog","PG","Parental Guidance Suggested"
"Secretary Rouge","PG","Parental Guidance Suggested"
"Secrets Paradise","G","General Audiences"
"Sense Greek","R","Restricted"
"Sensibility Rear","PG","Parental Guidance Suggested"
"Seven Swarm","R","Restricted"
"Shakespeare Saddle","PG-13","Parents Strongly Cautioned"
"Shane Darkness","PG","Parental Guidance Suggested"
"Shanghai Tycoon","PG","Parental Guidance Suggested"
"Shawshank Bubble","PG","Parental Guidance Suggested"
"Shepherd Midsummer","R","Restricted"
"Shining Roses","G","General Audiences"
"Ship Wonderland","R","Restricted"
"Shock Cabin","PG-13","Parents Strongly Cautioned"
"Shootist Superfly","PG-13","Parents Strongly Cautioned"
"Show Lord","PG-13","Parents Strongly Cautioned"
"Shrek License","PG-13","Parents Strongly Cautioned"
"Shrunk Divine","R","Restricted"
"Side Ark","G","General Audiences"
"Siege Madre","R","Restricted"
"Sierra Divide","NC-17","Adults Only"
"Silence Kane","R","Restricted"
"Silverado Goldfinger","PG","Parental Guidance Suggested"
"Simon North","NC-17","Adults Only"
"Sinners Atlantis","PG-13","Parents Strongly Cautioned"
"Sister Freddy","PG-13","Parents Strongly Cautioned"
"Sky Miracle","PG","Parental Guidance Suggested"
"Slacker Liaisons","R","Restricted"
"Sleeping Suspects","PG-13","Parents Strongly Cautioned"
"Sleepless Monsoon","G","General Audiences"
"Sleepy Japanese","PG","Parental Guidance Suggested"
"Sleuth Orient","NC-17","Adults Only"
"Sling Luke","R","Restricted"
"Slipper Fidelity","PG-13","Parents Strongly Cautioned"
"Slums Duck","PG","Parental Guidance Suggested"
"Smile Earring","G","General Audiences"
"Smoking Barbarella","PG-13","Parents Strongly Cautioned"
"Smoochy Control","R","Restricted"
"Snatch Slipper","PG","Parental Guidance Suggested"
"Snatchers Montezuma","PG-13","Parents Strongly Cautioned"
"Snowman Rollercoaster","G","General Audiences"
"Soldiers Evolution","R","Restricted"
"Something Duck","NC-17","Adults Only"
"Song Hedwig","PG-13","Parents Strongly Cautioned"
"Sons Interview","NC-17","Adults Only"
"Sorority Queen","NC-17","Adults Only"
"Soup Wisdom","R","Restricted"
"South Wait","R","Restricted"
"Spartacus Cheaper","NC-17","Adults Only"
"Speakeasy Date","PG-13","Parents Strongly Cautioned"
"Speed Suit","PG-13","Parents Strongly Cautioned"
"Spice Sorority","NC-17","Adults Only"
"Spiking Element","G","General Audiences"
"Spinal Rocky","PG-13","Parents Strongly Cautioned"
"Spirit Flintstones","R","Restricted"
"Spirited Casualties","PG-13","Parents Strongly Cautioned"
"Splash Gump","PG","Parental Guidance Suggested"
"Splendor Patton","R","Restricted"
"Spoilers Hellfighters","G","General Audiences"
"Spy Mile","PG-13","Parents Strongly Cautioned"
"Squad Fish","PG","Parental Guidance Suggested"
"Stage World","PG","Parental Guidance Suggested"
"Stagecoach Armageddon","R","Restricted"
"Stallion Sundance","PG-13","Parents Strongly Cautioned"
"Stampede Disturbing","R","Restricted"
"Star Operation","PG","Parental Guidance Suggested"
"State Wasteland","NC-17","Adults Only"
"Steel Santa","NC-17","Adults Only"
"Steers Armageddon","PG","Parental Guidance Suggested"
"Stepmom Dream","NC-17","Adults Only"
"Sting Personal","NC-17","Adults Only"
"Stock Glass","PG","Parental Guidance Suggested"
"Stone Fire","G","General Audiences"
"Storm Happiness","NC-17","Adults Only"
"Story Side","R","Restricted"
"Straight Hours","R","Restricted"
"Strangelove Desire","NC-17","Adults Only"
"Stranger Strangers","G","General Audiences"
"Strangers Graffiti","R","Restricted"
"Streak Ridgemont","PG-13","Parents Strongly Cautioned"
"Streetcar Intentions","R","Restricted"
"Strictly Scarface","PG-13","Parents Strongly Cautioned"
"Submarine Bed","R","Restricted"
"Sugar Wonka","PG","Parental Guidance Suggested"
"Suicides Silence","G","General Audiences"
"Suit Walls","R","Restricted"
"Summer Scarface","G","General Audiences"
"Sun Confessions","R","Restricted"
"Sundance Invasion","NC-17","Adults Only"
"Sunrise League","PG-13","Parents Strongly Cautioned"
"Sunset Racer","NC-17","Adults Only"
"Super Wyoming","PG","Parental Guidance Suggested"
"Superfly Trip","PG","Parental Guidance Suggested"
"Suspects Quills","PG","Parental Guidance Suggested"
"Swarm Gold","PG-13","Parents Strongly Cautioned"
"Sweden Shining","PG","Parental Guidance Suggested"
"Sweet Brotherhood","R","Restricted"
"Sweethearts Suspects","G","General Audiences"
"Tadpole Park","PG","Parental Guidance Suggested"
"Talented Homicide","PG","Parental Guidance Suggested"
"Tarzan Videotape","PG-13","Parents Strongly Cautioned"
"Taxi Kick","PG-13","Parents Strongly Cautioned"
"Teen Apollo","G","General Audiences"
"Telegraph Voyage","PG","Parental Guidance Suggested"
"Telemark Heartbreakers","PG-13","Parents Strongly Cautioned"
"Temple Attraction","PG","Parental Guidance Suggested"
"Tenenbaums Command","PG-13","Parents Strongly Cautioned"
"Tequila Past","PG","Parental Guidance Suggested"
"Terminator Club","R","Restricted"
"Texas Watch","NC-17","Adults Only"
"Theory Mermaid","PG-13","Parents Strongly Cautioned"
"Thief Pelican","PG-13","Parents Strongly Cautioned"
"Thin Sagebrush","PG-13","Parents Strongly Cautioned"
"Ties Hunger","R","Restricted"
"Tights Dawn","R","Restricted"
"Timberland Sky","G","General Audiences"
"Titanic Boondock","R","Restricted"
"Titans Jerk","PG","Parental Guidance Suggested"
"Tomatoes Hellfighters","PG","Parental Guidance Suggested"
"Tomorrow Hustler","R","Restricted"
"Tootsie Pilot","PG","Parental Guidance Suggested"
"Torque Bound","G","General Audiences"
"Tourist Pelican","PG-13","Parents Strongly Cautioned"
"Towers Hurricane","NC-17","Adults Only"
"Town Ark","R","Restricted"
"Tracy Cider","G","General Audiences"
"Trading Pinocchio","PG","Parental Guidance Suggested"
"Traffic Hobbit","G","General Audiences"
"Train Bunch","R","Restricted"
"Trainspotting Strangers","PG-13","Parents Strongly Cautioned"
"Tramp Others","PG","Parental Guidance Suggested"
"Translation Summer","PG-13","Parents Strongly Cautioned"
"Trap Guys","G","General Audiences"
"Treasure Command","PG-13","Parents Strongly Cautioned"
"Treatment Jekyll","PG","Parental Guidance Suggested"
"Trip Newton","PG-13","Parents Strongly Cautioned"
"Trojan Tomorrow","PG","Parental Guidance Suggested"
"Troopers Metal","R","Restricted"
"Trouble Date","PG","Parental Guidance Suggested"
"Truman Crazy","G","General Audiences"
"Turn Star","G","General Audiences"
"Tuxedo Mile","R","Restricted"
"Twisted Pirates","PG","Parental Guidance Suggested"
"Tycoon Gathering","G","General Audiences"
"Unbreakable Karate","G","General Audiences"
"Uncut Suicides","PG-13","Parents Strongly Cautioned"
"Undefeated Dalmations","PG-13","Parents Strongly Cautioned"
"Unfaithful Kill","R","Restricted"
"Unforgiven Zoolander","PG","Parental Guidance Suggested"
"United Pilot","R","Restricted"
"Untouchables Sunrise","NC-17","Adults Only"
"Uprising Uptown","NC-17","Adults Only"
"Uptown Young","PG","Parental Guidance Suggested"
"Usual Untouchables","PG-13","Parents Strongly Cautioned"
"Vacation Boondock","R","Restricted"
"Valentine Vanishing","PG-13","Parents Strongly Cautioned"
"Valley Packer","G","General Audiences"
"Vampire Whale","NC-17","Adults Only"
"Vanilla Day","NC-17","Adults Only"
"Vanished Garden","R","Restricted"
"Vanishing Rocky","NC-17","Adults Only"
"Varsity Trip","NC-17","Adults Only"
"Velvet Terminator","R","Restricted"
"Vertigo Northwest","R","Restricted"
"Victory Academy","PG-13","Parents Strongly Cautioned"
"Videotape Arsenic","NC-17","Adults Only"
"Vietnam Smoochy","PG-13","Parents Strongly Cautioned"
"Villain Desperate","PG-13","Parents Strongly Cautioned"
"Virgin Daisy","PG-13","Parents Strongly Cautioned"
"Virginian Pluto","R","Restricted"
"Virtual Spoilers","NC-17","Adults Only"
"Vision Torque","PG-13","Parents Strongly Cautioned"
"Voice Peach","PG-13","Parents Strongly Cautioned"
"Volcano Texas","NC-17","Adults Only"
"Volume House","PG","Parental Guidance Suggested"
"Voyage Legally","PG-13","Parents Strongly Cautioned"
"Wagon Jaws","PG","Parental Guidance Suggested"
"Wait Cider","PG-13","Parents Strongly Cautioned"
"Wake Jaws","G","General Audiences"
"Walls Artist","PG","Parental Guidance Suggested"
"Wanda Chamber","PG-13","Parents Strongly Cautioned"
"War Notting","G","General Audiences"
"Wardrobe Phantom","G","General Audiences"
"Warlock Werewolf","G","General Audiences"
"Wars Pluto","G","General Audiences"
"Wash Heavenly","R","Restricted"
"Wasteland Divine","PG","Parental Guidance Suggested"
"Watch Tracy","PG","Parental Guidance Suggested"
"Waterfront Deliverance","G","General Audiences"
"Watership Frontier","G","General Audiences"
"Wedding Apollo","PG","Parental Guidance Suggested"
"Weekend Personal","R","Restricted"
"Werewolf Lola","G","General Audiences"
"West Lion","G","General Audiences"
"Westward Seabiscuit","NC-17","Adults Only"
"Whale Bikini","PG-13","Parents Strongly Cautioned"
"Whisperer Giant","PG-13","Parents Strongly Cautioned"
"Wife Turn","NC-17","Adults Only"
"Wild Apollo","R","Restricted"
"Willow Tracy","R","Restricted"
"Wind Phantom","R","Restricted"
"Window Side","R","Restricted"
"Wisdom Worker","R","Restricted"
"Witches Panic","NC-17","Adults Only"
"Wizard Coldblooded","PG","Parental Guidance Suggested"
"Wolves Desire","NC-17","Adults Only"
"Women Dorado","R","Restricted"
"Won Dares","PG","Parental Guidance Suggested"
"Wonderful Drop","NC-17","Adults Only"
"Wonderland Christmas","PG","Parental Guidance Suggested"
"Wonka Sea","NC-17","Adults Only"
"Words Hunter","PG","Parental Guidance Suggested"
"Worker Tarzan","R","Restricted"
"Working Microcosmos","R","Restricted"
"World Leathernecks","PG-13","Parents Strongly Cautioned"
"Worst Banger","PG","Parental Guidance Suggested"
"Wrath Mile","NC-17","Adults Only"
"Wrong Behavior","PG-13","Parents Strongly Cautioned"
"Wyoming Storm","PG-13","Parents Strongly Cautioned"
"Yentl Idaho","R","Restricted"
"Young Language","G","General Audiences"
"Youth Kick","NC-17","Adults Only"
"Zhivago Core","NC-17","Adults Only"
"Zoolander Fiction","R","Restricted"
"Zorro Ark","NC-17","Adults Only"
